aid,bvid,title,comment,clean_comment,sentiment_score,sentiment_label
116165779199243,BV13ZAZz6EG9,我好像买到了一只星期猫,救猫你是这个👍🏻，网购你是这个👎🏻,救猫你是这个👍🏻，网购你是这个👎🏻,0.17882019982992514,负向
116165779199243,BV13ZAZz6EG9,我好像买到了一只星期猫,Up的评论区堪比天使与恶魔的神战[笑哭],Up的评论区堪比天使与恶魔的神战[笑哭],0.991759108249566,正向
116165779199243,BV13ZAZz6EG9,我好像买到了一只星期猫,难绷，你说他有爱心，他不收养流浪猫去买猫贩子的猫。你说他没爱心，他花钱治。我怀疑他是导演,难绷，你说他有爱心，他不收养流浪猫去买猫贩子的猫。你说他没爱心，他花钱治。我怀疑他是导演,0.9860566366863792,正向
116170543863736,BV115PvzeEy2,非得今儿个走啊,隔壁是有广的，在这边:撇了！就说爽不爽,隔壁是有广的，在这边:撇了！就说爽不爽,0.09054427212190985,负向
116170543863736,BV115PvzeEy2,非得今儿个走啊,这次更新了，下次在更新就是中秋节了[无语][无语],这次更新了，下次在更新就是中秋节了[无语][无语],0.015851660478343965,负向
116170543863736,BV115PvzeEy2,非得今儿个走啊,拍短视频拍成这样也是挺有追求的了,拍短视频拍成这样也是挺有追求的了,0.6285223457264472,正向
116162104918386,BV16uARz1EUo,《这波贪了》,八個鴨肉[doge_金箍][doge_金箍],八個鴨肉[doge_金箍][doge_金箍],0.4145834559858378,中性
116162104918386,BV16uARz1EUo,《这波贪了》,这一波其实是男生不小心往前摔倒，女主赶紧用自己的包给他拉起来，并且拍了拍身上的灰。让我们给这种善良行为点赞,这一波其实是男生不小心往前摔倒，女主赶紧用自己的包给他拉起来，并且拍了拍身上的灰。让我们给这种善良行为点赞,0.6237059334922381,正向
116162104918386,BV16uARz1EUo,《这波贪了》,你冲刺都没能把包从她手里抢走，反而被她拽倒，你真不开始考虑逃吗,你冲刺都没能把包从她手里抢走，反而被她拽倒，你真不开始考虑逃吗,0.3107461996653901,负向
116164621504382,BV1EZAozDEA6,爱在一生中占多少百分比,兄弟们我先跳了。我家从小就是小三和我爸爸妈住一起，我睡过道。,兄弟们我先跳了。我家从小就是小三和我爸爸妈住一起，我睡过道。,0.13402650026104979,负向
116164621504382,BV1EZAozDEA6,爱在一生中占多少百分比,别翻了，我也不爱你,别翻了，我也不爱你,0.526214540833367,中性
